id,volt_A,deg_A,volt_B,deg_B,volt_C,deg_C
60,2551.9,0.0,2521.9,-120.0,2566.9,120.0
611,,,,,2339.1,115.78
632,2452.3,-2.49,2502.7,-121.72,2443.8,117.83
633,2445.1,-2.55,2498.1,-121.77,2437.5,117.83
634,275.5,-3.23,283.2,-122.22,276.0,117.35
645,,,2480.7,-121.9,2439.1,117.86
646,,,2476.5,-121.98,2434.1,117.9
650,2401.8,0.0,2401.8,-120.0,2401.8,120.0
652,2359.8,-5.24,,,,
671,2377.8,-5.29,2528.9,-122.34,2348.8,116.03
675,2362.2,-5.54,2534.6,-122.52,2344.2,116.04
680,2377.8,-5.29,2528.9,-122.34,2348.8,116.03
684,2373.2,-5.32,,,2343.9,115.92
692,2377.8,-5.29,2528.9,-122.34,2348.8,116.03
